Auteur,Date,Commentaire,Note
Cindy,2024-07-17,bon article avec bon rapport qualite prix,4
PHILIPPE,2024-07-17,confortable,4
Virginie,2024-07-17,basique mais pratique pour commencer la course a pied,4
Clarisse,2024-07-18,pas bien dedans,2
Vincent,2024-07-15,comme dans le titre chaussures pratiques pour de la marche occasionnelle,5
CÉLINE,2024-07-15,tres bon basket tres confortable,5
Audrey,2024-07-14,bon produit,5
Laetitia,2024-07-14,probleme de pied j avais un doute sur le fait que c est chaussures me donne la possibilite de faire de la marche plus intense c est gagne pas de douleur pour le moment,5
Evelyne,2024-07-14,tres confortables bonne accroche sur chemins,5
Nadège,2024-07-14,les baskets sont confortables et legeres elles sont faites pour des coureurs occasionnels car lamorti du talon se tasse avec le temps,5
Ophélie,2024-07-14,super pour la marche ou rando facile,5
Carole,2024-07-13,bon produit,5
JOSE,2024-07-13,ras,4
Aline,2024-07-13,ras,5
marie,2024-07-12,qualite satisfaisante,4
Sara,2024-07-12,bonne basket mais pas resistant le risque au dessus sabime vite,5
PHILIPPE,2024-07-13,legere,5
CAROLE,2024-07-12,bon produit qui va durer longtemps ne lutilisant que heures par semeie,4
Claude,2024-07-12,conforme aux attentes,5
aude,2024-07-12,tres bon produit rapport qualite prix,4
Xavier,2024-07-11,tres bien,5
Céline,2024-07-11,tres bien pour porter tous les jours tres bien pour ballade ou petites randonnees pas assez techniques pour de la course a pieds mais pour le prix c est normal solides et ne se deforment pas facilement,4
Benoit,2024-07-11,bien,4
Maurice,2024-07-11,jai toujours une paire dommage que le modele femme ait toujours du rose jai pris une fois le modele bleu homme un peu plus large peutetre mais tout aussi bien,5
Chantal,2024-07-11,confortables et legeres,5
Annabelle,2024-07-10,contente,5
DIDIER,2024-07-10,tres bon produit,5
laurence,2024-07-09,jolie couleur et belle harmonie des couleurs semelle souple agreable a porter bon amorti,5
Karine,2024-07-10,bien pour le prix,3
